reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b1,10.1016/s0963-8695(00)00072-4,2001-07,Using A Digital X-ray Imaging Device To Measure The Swelling Coefficients Of A Group Of Wood Cells,https://w3id.org/oc/meta/id/06310410468,https://w3id.org/oc/meta/ar/061604315843,https://w3id.org/oc/meta/re/06160805106,https://w3id.org/oc/meta/br/061601016168,http://purl.org/spar/fabio/JournalArticle
b2,10.1007/s00468-006-0105-z,2006-12-05,The Shrinkage Of Oak Predicted From Its Anatomical Pattern: Validation Of A Cognitive Model,https://w3id.org/oc/meta/id/06310762176,https://w3id.org/oc/meta/ar/062407411668,https://w3id.org/oc/meta/re/062401384096,https://w3id.org/oc/meta/br/062401672830,http://purl.org/spar/fabio/JournalArticle
b3,10.1163/22941932-20160127,2016-07-07,Wood Anatomy And Trait-Based Ecology,https://w3id.org/oc/meta/id/06470474804,https://w3id.org/oc/meta/ar/06150328675,https://w3id.org/oc/meta/re/0615060968,https://w3id.org/oc/meta/br/06150139804,http://purl.org/spar/fabio/JournalArticle
b4,10.1007/s11340-015-0009-1,2015-03-31,Ncorr: Open-Source 2D Digital Image Correlation Matlab Software,https://w3id.org/oc/meta/id/06810378222,https://w3id.org/oc/meta/ar/062305070330,https://w3id.org/oc/meta/re/06230944046,https://w3id.org/oc/meta/br/061504065328,http://purl.org/spar/fabio/JournalArticle
b6,10.1371/journal.pone.0150777,2016-03-23,New Insights On Wood Dimensional Stability Influenced By Secondary Metabolites: The Case Of A Fast-Growing Tropical Species Bagassa Guianensis Aubl.,https://w3id.org/oc/meta/id/0662031529,https://w3id.org/oc/meta/ar/061806513349,https://w3id.org/oc/meta/re/061801247562,https://w3id.org/oc/meta/br/06903836458,http://purl.org/spar/fabio/JournalArticle
b7,10.1080/03610927408827101,1974,A Dendrite Method For Cluster Analysis,https://w3id.org/oc/meta/id/062301334082,https://w3id.org/oc/meta/ar/062305535584,https://w3id.org/oc/meta/re/062301045679,https://w3id.org/oc/meta/br/0618031020,http://purl.org/spar/fabio/JournalArticle
b8,10.3390/f9120763,2018-12-07,Wood Density Profiles And Their Corresponding Tissue Fractions In Tropical Angiosperm Trees,https://w3id.org/oc/meta/id/06970105449,https://w3id.org/oc/meta/ar/0617012059518,https://w3id.org/oc/meta/re/061702255556,https://w3id.org/oc/meta/br/061702882852,http://purl.org/spar/fabio/JournalArticle
b9,10.1111/j.1365-2745.2011.01939.x,2012-01-04,Hydraulic Conductivity Traits Predict Growth Rates And Adult Stature Of 40 Asian Tropical Tree Species Better Than Wood Density,https://w3id.org/oc/meta/id/06580184034,https://w3id.org/oc/meta/ar/06601221666,https://w3id.org/oc/meta/re/0660214674,https://w3id.org/oc/meta/br/0660338098,http://purl.org/spar/fabio/JournalArticle
b11,10.1111/nph.12632,2013-12-16,Wood Specific Gravity And Anatomy Of Branches And Roots In 113 A Mazonian Rainforest Tree Species Across Environmental Gradients,https://w3id.org/oc/meta/id/06602404705,https://w3id.org/oc/meta/ar/066010958408,https://w3id.org/oc/meta/re/06601892963,https://w3id.org/oc/meta/br/06602511560,http://purl.org/spar/fabio/JournalArticle
